CGATS.17

CREATED "06/20/2022	#Time:	11:30:29"
INSTRUMENTATION "i1Pro 2 ; Serial number 0"
ILLUMINATION_NAME "D50"
OBSERVER_ANGLE "2"

NUMBER_OF_FIELDS 9
BEGIN_DATA_FORMAT
SAMPLE_ID SAMPLE_NAME CMYK_C CMYK_M CMYK_Y CMYK_K LAB_L LAB_A LAB_B 
END_DATA_FORMAT

NUMBER_OF_SETS 432
BEGIN_DATA
233 P8 100.0000 49.41000 100.0000 74.51000 24.23673 -11.54925 4.782886 
234 P9 49.41000 0.00000 100.0000 74.51000 34.35480 -12.79971 25.07697 
235 P10 0.00000 0.00000 0.00000 3.530000 85.89941 3.076136 -8.320808 
236 P11 0.00000 0.00000 0.00000 7.450000 83.45788 2.939105 -7.713068 
237 P12 0.00000 0.00000 0.00000 12.94000 80.13815 2.828360 -6.848812 
238 P13 0.00000 0.00000 0.00000 29.80000 69.96980 2.521157 -4.086924 
239 P14 0.00000 0.00000 0.00000 54.90000 53.49270 2.240717 -0.182950 
240 P15 0.00000 0.00000 0.00000 82.35000 30.37801 2.400532 4.487729 
241 Q1 0.00000 0.00000 0.00000 94.12000 20.92479 1.242384 2.614361 
242 Q2 100.0000 0.00000 0.00000 49.41000 30.49951 -20.93335 -36.66188 
243 Q3 100.0000 0.00000 34.51000 49.41000 31.13969 -32.45871 -22.67691 
244 Q4 100.0000 0.00000 64.71000 49.41000 32.82418 -41.30083 -7.451325 
245 Q5 100.0000 0.00000 100.0000 49.41000 35.07375 -45.68279 14.07834 
246 Q6 100.0000 34.51000 0.00000 49.41000 26.62238 -11.43782 -36.23222 
247 Q7 100.0000 34.51000 34.51000 49.41000 28.34439 -21.27816 -22.49916 
248 Q8 100.0000 34.51000 64.71000 49.41000 30.72814 -27.23590 -8.753652 
249 Q9 100.0000 34.51000 100.0000 49.41000 32.91474 -30.98218 8.831960 
250 Q10 100.0000 0.00000 100.0000 100.0000 10.73676 -0.928059 1.711100 
251 Q11 76.47000 30.20000 76.47000 78.04000 26.04441 -8.705274 4.773891 
252 Q12 100.0000 0.00000 49.41000 74.51000 24.69587 -21.97970 -7.526755 
253 Q13 0.00000 0.00000 0.00000 24.71000 73.26546 2.566069 -5.044961 
254 Q14 0.00000 0.00000 20.00000 24.71000 72.12853 -1.312405 9.532166 
255 Q15 0.00000 0.00000 40.00000 24.71000 70.35184 -3.819764 22.53916 
256 R1 0.00000 0.00000 69.80000 24.71000 68.29061 -6.251425 42.36584 
257 R2 0.00000 0.00000 100.0000 24.71000 69.32733 -4.703999 70.36809 
258 R3 0.00000 20.00000 0.00000 24.71000 66.24092 15.04809 -8.379805 
259 R4 0.00000 20.00000 20.00000 24.71000 64.34946 11.82258 4.111826 
260 R5 0.00000 20.00000 40.00000 24.71000 62.11250 10.12850 15.45585 
261 R6 0.00000 20.00000 69.80000 24.71000 61.29113 7.557779 34.34747 
262 R7 0.00000 20.00000 100.0000 24.71000 63.27767 6.218553 63.15723 
263 R8 0.00000 40.00000 0.00000 24.71000 58.66652 27.39569 -10.32398 
264 R9 0.00000 40.00000 20.00000 24.71000 56.58136 25.58529 0.198519 
265 R10 0.00000 40.00000 40.00000 24.71000 55.10393 24.14414 10.52935 
266 R11 0.00000 40.00000 69.80000 24.71000 54.70609 21.46760 28.18912 
267 R12 0.00000 40.00000 100.0000 24.71000 57.03120 18.92221 56.12288 
268 R13 96.47000 27.45000 63.53000 70.59000 26.28897 -17.23032 -3.907126 
269 R14 65.10000 29.41000 96.08000 70.59000 31.08361 -9.966076 15.37031 
270 R15 100.0000 0.00000 100.0000 74.51000 26.79095 -25.89962 9.458982 
271 S1 20.00000 0.00000 0.00000 24.71000 68.04170 -5.363494 -11.76249 
272 S2 20.00000 0.00000 20.00000 24.71000 66.67384 -9.925365 1.762629 
273 S3 20.00000 0.00000 40.00000 24.71000 64.79070 -13.76587 13.89205 
274 S4 20.00000 0.00000 69.80000 24.71000 63.34002 -17.58885 33.58779 
275 S5 20.00000 0.00000 100.0000 24.71000 64.39217 -14.91731 61.53090 
276 S6 20.00000 20.00000 0.00000 24.71000 61.21040 6.715059 -14.56794 
277 S7 20.00000 20.00000 20.00000 24.71000 59.21491 2.854109 -3.233099 
278 S8 20.00000 20.00000 40.00000 24.71000 57.47991 -0.171334 8.443033 
279 S9 20.00000 20.00000 69.80000 24.71000 57.10447 -3.655940 27.03691 
280 S10 20.00000 20.00000 100.0000 24.71000 59.65148 -3.847957 55.82999 
281 S11 20.00000 40.00000 0.00000 24.71000 52.88992 19.63568 -16.84781 
282 S12 20.00000 40.00000 20.00000 24.71000 51.42355 16.79596 -6.726277 
283 S13 20.00000 40.00000 40.00000 24.71000 50.23636 14.35587 3.721917 
284 S14 20.00000 40.00000 69.80000 24.71000 50.75121 10.80459 21.62577 
285 S15 20.00000 40.00000 100.0000 24.71000 52.92355 8.812576 49.24139 
286 T1 94.90000 25.88000 94.90000 70.59000 27.75800 -19.23634 7.245702 
287 T2 74.90000 49.02000 74.90000 54.51000 32.08411 -8.178965 2.903855 
288 T3 49.41000 0.00000 49.41000 74.51000 31.96002 -10.10635 6.929893 
289 T4 40.00000 0.00000 0.00000 24.71000 62.25519 -12.98717 -18.56881 
290 T5 40.00000 0.00000 20.00000 24.71000 60.23937 -19.24577 -4.981470 
291 T6 40.00000 0.00000 40.00000 24.71000 58.87585 -23.73597 6.629169 
292 T7 40.00000 0.00000 69.80000 24.71000 58.42137 -28.21213 24.86235 
293 T8 40.00000 0.00000 100.0000 24.71000 59.92033 -25.05940 53.28701 
294 T9 40.00000 20.00000 0.00000 24.71000 55.76372 -1.179963 -21.13723 
295 T10 40.00000 20.00000 20.00000 24.71000 53.57663 -6.336749 -9.378362 
296 T11 40.00000 20.00000 40.00000 24.71000 52.35754 -10.53879 1.319277 
297 T12 40.00000 20.00000 69.80000 24.71000 52.65724 -14.56144 18.97821 
298 T13 40.00000 20.00000 100.0000 24.71000 54.62337 -14.96589 47.02985 
299 T14 40.00000 40.00000 0.00000 24.71000 48.12229 11.85626 -23.14317 
300 T15 40.00000 40.00000 20.00000 24.71000 46.36367 7.455945 -12.73007 
301 U1 40.00000 40.00000 40.00000 24.71000 46.45639 3.792852 -2.596736 
302 U2 40.00000 40.00000 69.80000 24.71000 47.30408 -0.972778 14.30219 
303 U3 40.00000 40.00000 100.0000 24.71000 48.98608 -3.149718 40.75010 
304 U4 30.20000 30.20000 98.04000 70.59000 34.97295 -0.932917 24.01099 
305 U5 49.41000 49.41000 75.69000 54.51000 35.15617 1.803219 10.04410 
306 U6 56.08000 14.12000 56.08000 41.96000 44.00864 -19.44920 6.168938 
307 U7 69.80000 0.00000 0.00000 24.71000 51.19814 -24.23415 -30.15504 
308 U8 69.80000 0.00000 20.00000 24.71000 50.41508 -32.64886 -17.43793 
309 U9 69.80000 0.00000 40.00000 24.71000 50.33492 -37.97330 -6.225073 
310 U10 69.80000 0.00000 69.80000 24.71000 50.33178 -44.33376 11.15485 
